KM,LATUD,LONGITUD,ALTURA (msnm)
0.0,-15.165533,-75.256948,361.0
1.0,-15.161021,-75.248889,544.0
2.0,-15.156510,-75.240831,722.0
3.0,-15.151998,-75.232772,717.0
4.0,-15.147487,-75.224713,725.0
5.0,-15.142975,-75.216655,733.0
6.0,-15.138463,-75.208596,729.0
7.0,-15.133952,-75.200537,717.0
8.0,-15.129440,-75.192479,720.0
9.0,-15.124929,-75.184420,725.0
10.0,-15.120417,-75.176361,745.0
11.0,-15.115905,-75.168303,737.0
12.0,-15.111394,-75.160244,725.0
13.0,-15.106882,-75.152185,749.0
14.0,-15.102371,-75.144127,806.0
15.0,-15.097859,-75.136068,871.0
16.0,-15.093348,-75.128009,922.0
17.0,-15.088836,-75.119950,895.0
18.0,-15.084324,-75.111892,819.0
19.0,-15.079813,-75.103833,732.0
20.0,-15.075301,-75.095774,767.0
21.0,-15.075283,-75.086466,657.0
22.0,-15.075283,-75.077152,609.0
23.0,-15.075283,-75.067838,559.0
24.0,-15.075283,-75.058524,532.0
25.0,-15.075283,-75.049211,518.0
26.0,-15.075283,-75.039897,510.0
27.0,-15.075283,-75.030583,510.0
28.0,-15.075283,-75.021270,530.0
29.0,-15.075283,-75.011956,570.0
