Tramo_Inicio_KM,Tramo_Fin_KM,Elevacion_Inicio,Elevacion_Fin,Desnivel_m,Pendiente_Porcentaje
29.0,28.0,570.0,530.0,-40.0,-4.0
28.0,27.0,530.0,510.0,-20.0,-2.0
27.0,26.0,510.0,510.0,0.0,0.0
26.0,25.0,510.0,518.0,8.0,0.8
25.0,24.0,518.0,532.0,14.0,1.4
24.0,23.0,532.0,559.0,27.0,2.7
23.0,22.0,559.0,609.0,50.0,5.0
22.0,21.0,609.0,657.0,48.0,4.8
21.0,20.0,657.0,767.0,110.0,11.0
20.0,19.0,767.0,732.0,-35.0,-3.5
19.0,18.0,732.0,819.0,87.0,8.7
18.0,17.0,819.0,895.0,76.0,7.6
17.0,16.0,895.0,922.0,27.0,2.7
16.0,15.0,922.0,871.0,-51.0,-5.1
15.0,14.0,871.0,806.0,-65.0,-6.5
14.0,13.0,806.0,749.0,-57.0,-5.7
13.0,12.0,749.0,725.0,-24.0,-2.4
12.0,11.0,725.0,737.0,12.0,1.2
11.0,10.0,737.0,745.0,8.0,0.8
10.0,9.0,745.0,725.0,-20.0,-2.0
9.0,8.0,725.0,720.0,-5.0,-0.5
8.0,7.0,720.0,717.0,-3.0,-0.3
7.0,6.0,717.0,729.0,12.0,1.2
6.0,5.0,729.0,733.0,4.0,0.4
5.0,4.0,733.0,725.0,-8.0,-0.8
4.0,3.0,725.0,717.0,-8.0,-0.8
3.0,2.0,717.0,722.0,5.0,0.5
2.0,1.0,722.0,544.0,-178.0,-17.8
1.0,0.0,544.0,361.0,-183.0,-18.3
