Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,COS,,,,,,
,,,,,,,,,,,,
,,,,Moquegua,,Tablones,,Huemul,,Concon Trader,,
,,,,,,,,,,,,
,,,,Eslora        :          134.16 mtrs.,134.16,Eslora        :    ,158.8,Eslora        :          ,161.12,Eslora        :         ,145.53,
,,,,"DW            :                                 14,298.00 mtons.",,DW            :        ,16533,DW            :     ,22062,DW            :       ,19823.15,
,,,,"GRT           :          8,259.00 mtons.",8259,GRT           :     ,11365,GRT           :       ,13666,GRT     ,11773,
,,,,carga,13500,carga,14500,carga,14500,carga,14500,
,,,,rtimo,500,rtimo,500,rtimo,500,rtimo,500,
,,,,horas,32,horas,34,horas,34,horas,34,
,,,,PAIS ORIGEN:,Peru,PAIS ORIGEN:,Peru,PAIS ORIGEN:,Peru,PAIS ORIGEN:,Peru,
,,,,,,,,,,,,
,,t/c,,,,,,,,,,
,,ITEMS,TARIFA,CANTIDAD,TRANSTOTAL ,CANTIDAD,TRANSTOTAL,CANTIDAD,TRANSTOTAL,CANTIDAD,TRANSTOTAL,OBSERVACIONES
,,,,,US$,,US$,,US$,,US$,
,A),Shifting Expenses,,,,,,,,,,
,,Practicaje,1500,2,3000,2,3000,2,3000,2,3000,"Tarifa Port Opeartions $ 1,500 por maniobra."
,,Linesmen /amarre y desamarre( Por maniobra),170,4,680,4,680,4,680,4,680,
,,Towage /Remolcaje($0.16*GRT*Mnvr*Tug) - PSA MARINE,0.16,2,2642.88,1,3636.8,1,,1,,Tarifa-PSA  $ 0.16 x  Trb por maniobra por remolcador (2)
,,Remolcaje Posicionamiento - PSA MARINE,700,2,1400,2,1400,2,1400,2,1400,"Petranso Remolcadores   Tarifa $ 0.18 x Trb , sujeta a 10% descuentos, posicionamiento $ 1400"
,,Towage /Remolcaje($0.15*GRT*Mnvr*Tug) - PETRANSO,0.15,2,2477.7,1,3409.5,1,4099.8,1,3531.9,Tarifa-PSA  $ 0.16 x  Trb por maniobra por remolcador (2)
,,Remolcaje Posicionamiento - PETRANSO,600,2,1200,2,1200,2,1200,2,1200,"Petranso Remolcadores   Tarifa $ 0.18 x Trb , sujeta a 10% descuentos, posicionamiento $ 1400"
,,Port toll /Land transport /terminal fee($75*move),75,2,150,2,150,2,150,2,150,
,B),General Port Expenses,,,,,,,,,,
,,Lighthouse Dues (Aplica si el buque viene de PUERTO NACIONAL)        ,0.03,0.03,247.76999999999998,0.03,340.95,0.03,409.97999999999996,0.03,353.19,Tarifa Direccion de Hidrografia y navegación.
,,Lighthouse Dues (Aplica si el buque viene de  PUERTO EXTRANJERO),0.12,0.12,991.0799999999999,0.12,1363.8,0.12,1639.9199999999998,0.12,1412.76,
,,Coordinator on board     ,200,2,400,2,400,2,400,2,400,Tarifa fija. Transtotal por Nave.Turno x día
,,Sanitary Inspection (Reception/Dispatch) ,520,1,520,1,520,1,520,1,520,"Tarifa fija según Sanidad maritima. S/1,284.00"
,,"Lancha autoridades,práctico in/out / Por hora- Min 4 hrs",90,4,360,4,360,4,360,4,360,Lanchas de por transporte.
,,Lancha coordinador/ Por hora - Min 4 hrs,85,4,340,4,340,4,340,4,340,Lanchas de por transporte.
,,Lancha amarre/desamarre/ Por maniobra (2in/ 2out),375,4,1500,4,1500,4,1500,4,1500,Lanchas de por transporte. Por maniobra (2in/ 2out)
,,Lancha de posicionamiento/ Por maniobra(Si es aplicable),100,4,400,4,400,4,400,4,400,Lanchas de por transporte.
,,Clearance (In/Out),200,1,200,1,200,1,200,1,200,Tarifa fija según Sanidad maritima.
,C),Agency Expenses,,,,,,,,,,
,,Agency Fee,900,1,900,1,900,1,900,1,900,Tarifa fija Transtotal por Agenciamiento de Nave.         
,,"Transportation (Autoridades,coordinador y 
personal operativo)",200,1,200,1,200,1,200,1,200,Tarifa fija Transtotal 
,,Comunication,200,1,200,1,200,1,200,1,200,Tarifa fija Transtotal 
,,,,,,,,,,,,
,,T O T A L,,,17809.43,,20201.05,,17599.699999999997,,16747.85,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,OBSERVACIONES :,,,,,,,,,,
,,*INCLUYE MUELLAJE. ,,,,,,,,,,
,,*NO INCLUYE IGV.,,,,,,,,,,
